Date,Close/Last
10/28/2021,47.91
10/27/2021,47.33
10/26/2021,47.44
10/25/2021,47.15
10/22/2021,47.36
10/21/2021,47
10/20/2021,47.14
10/19/2021,46.96
10/18/2021,46.77
10/15/2021,47.07
10/14/2021,46.71
10/13/2021,45.99
10/12/2021,45.31
10/11/2021,45.34
10/08/2021,45.63
10/07/2021,45.75
10/06/2021,45.24
10/05/2021,45.56
10/04/2021,45.13
10/01/2021,45.53
09/30/2021,45.29
09/29/2021,45.75
09/28/2021,46
09/27/2021,47.21
09/24/2021,47.19
09/23/2021,47.68
09/22/2021,47.01
09/21/2021,46.43
09/20/2021,45.83
09/17/2021,46.95
09/16/2021,47.75
09/15/2021,47.72
09/14/2021,47.8
09/13/2021,47.95
09/10/2021,47.51
09/09/2021,47.67
09/08/2021,47.79
09/07/2021,48.33
09/03/2021,48.27
09/02/2021,48.58
09/01/2021,48.4
08/31/2021,47.94
08/30/2021,47.95
08/27/2021,47.87
08/26/2021,47.36
08/25/2021,47.59
08/24/2021,47.54
08/23/2021,47.56
08/20/2021,47.04
08/19/2021,46.78
08/18/2021,47.28
08/17/2021,47.55
08/16/2021,48.04
08/13/2021,48.32
08/12/2021,48.03
08/11/2021,47.89
08/10/2021,47.59
08/09/2021,47.52
08/06/2021,47.61
08/05/2021,47.69
08/04/2021,47.47
08/03/2021,47.45
08/02/2021,47.15
07/30/2021,47.03
07/29/2021,47.36
07/28/2021,47
07/27/2021,46.72
07/26/2021,46.91
07/23/2021,46.81
07/22/2021,46.33
07/21/2021,46.2
07/20/2021,45.33
07/19/2021,44.93
07/16/2021,46.05
07/15/2021,46.45
07/14/2021,46.99
07/13/2021,46.73
07/12/2021,47.14
07/09/2021,46.89
07/08/2021,45.88
07/07/2021,46.71
07/06/2021,46.4
07/02/2021,47
07/01/2021,46.95
06/30/2021,46.83
06/29/2021,47.35
06/28/2021,47.36
06/25/2021,47.71
06/24/2021,47.73
06/23/2021,47.16
06/22/2021,47.63
06/21/2021,47.61
06/18/2021,47.51
06/17/2021,48.55
06/16/2021,48.86
06/15/2021,49.35
06/14/2021,49.3
06/11/2021,49.18
06/10/2021,48.96
06/09/2021,48.93
06/08/2021,49.03
06/07/2021,49.09
06/04/2021,48.88
06/03/2021,48.55
06/02/2021,48.91
06/01/2021,48.82
05/28/2021,48.61
05/27/2021,48.35
05/26/2021,48.24
05/25/2021,48.53
05/24/2021,48.47
05/21/2021,48.09
05/20/2021,47.94
05/19/2021,47.09
05/18/2021,47.74
05/17/2021,47.81
05/14/2021,48
05/13/2021,46.9
05/12/2021,46.39
05/11/2021,46.87
05/10/2021,47.47
05/07/2021,48.01
05/06/2021,47.3
05/05/2021,46.86
05/04/2021,46.1
05/03/2021,47.05
04/30/2021,46.47
04/29/2021,47.29
04/28/2021,47.3
04/27/2021,47.12
04/26/2021,47.17
04/23/2021,47.1
04/22/2021,46.6
04/21/2021,46.73
04/20/2021,46.07
04/19/2021,46.96
04/16/2021,47.07
04/15/2021,46.42
04/14/2021,46.07
04/13/2021,46.09
04/12/2021,45.81
04/09/2021,45.98
04/08/2021,45.9
04/07/2021,45.68
04/06/2021,45.61
04/05/2021,46.08
04/01/2021,45.28
03/31/2021,44.51
03/30/2021,44.5
03/29/2021,44.34
03/26/2021,44.42
03/25/2021,43.86
03/24/2021,43.58
03/23/2021,43.69
03/22/2021,44.22
03/19/2021,44.22
03/18/2021,44.2
03/17/2021,44.74
03/16/2021,44.29
03/15/2021,44.36
03/12/2021,44.56
03/11/2021,44.56
03/10/2021,44.13
03/09/2021,43.64
03/08/2021,43.03
03/05/2021,42.81
03/04/2021,42.62
03/03/2021,43.07
03/02/2021,43.33
03/01/2021,43.28
02/26/2021,42.48
02/25/2021,42.9
02/24/2021,43.73
02/23/2021,43.4
02/22/2021,43.35
02/19/2021,43.43
02/18/2021,43.19
02/17/2021,43.25
02/16/2021,43.64
02/12/2021,43.37
02/11/2021,43.09
02/10/2021,42.72
02/09/2021,42.94
02/08/2021,42.86
02/05/2021,42.61
02/04/2021,42.19
02/03/2021,42.05
02/02/2021,41.94
02/01/2021,41.32
01/29/2021,40.76
01/28/2021,41.66
01/27/2021,41.16
01/26/2021,42.34
01/25/2021,41.98
01/22/2021,42.39
01/21/2021,42.65
01/20/2021,42.55
